Setting up the network with 2 inputs and 1 output(s)
Starting GA training at Fri Nov 10 17:25:26 2017
Generation 0, Mean Error: 1660686701.4254372
Generation 5, Mean Error: 1552104885.2304332
Generation 10, Mean Error: 1366413981.6426084
Generation 15, Mean Error: 1244079601.5398176
Generation 20, Mean Error: 1109341714.4177577
Generation 25, Mean Error: 1031204810.1539897
Generation 30, Mean Error: 869826972.809636
Generation 35, Mean Error: 731215282.4087313
Generation 40, Mean Error: 662779518.7976867
Generation 45, Mean Error: 613179050.4384745
Generation 50, Mean Error: 562355200.5743062
Generation 55, Mean Error: 489607284.0726881
Generation 60, Mean Error: 470575187.3167129
Generation 65, Mean Error: 409434750.017833
Generation 70, Mean Error: 378891327.17003566
Generation 75, Mean Error: 347827451.4382747
Generation 80, Mean Error: 324321137.66631573
Generation 85, Mean Error: 273957804.47495407
Generation 90, Mean Error: 240221809.22902697
Generation 95, Mean Error: 222530076.21522224
Generation 100, Mean Error: 203686976.85483932
Generation 105, Mean Error: 179885688.74343655
Generation 110, Mean Error: 152047979.2347786
Generation 115, Mean Error: 134087024.7929592
Generation 120, Mean Error: 125098132.2738596
Generation 125, Mean Error: 110604821.0899865
Generation 130, Mean Error: 96689319.2110481
Generation 135, Mean Error: 84312427.055209
Generation 140, Mean Error: 76061336.77774279
Generation 145, Mean Error: 72484542.99364595
Generation 150, Mean Error: 67385800.37999381
Generation 155, Mean Error: 59679709.06307966
Generation 160, Mean Error: 55832769.24374129
Generation 165, Mean Error: 47364994.92048762
Generation 170, Mean Error: 45236556.99666541
Generation 175, Mean Error: 39755957.546889454
Generation 180, Mean Error: 33087436.91961093
Generation 185, Mean Error: 28684650.158859417
Generation 190, Mean Error: 24902615.101779208
Generation 195, Mean Error: 22070979.518502302
Generation 200, Mean Error: 18044729.918152384
Generation 205, Mean Error: 16913011.64243772
Generation 210, Mean Error: 15593213.273271296
Generation 215, Mean Error: 13356771.650295977
Generation 220, Mean Error: 11930698.654444484
Generation 225, Mean Error: 11518210.41937751
Generation 230, Mean Error: 10388370.170118438
Generation 235, Mean Error: 9744327.178003425
Generation 240, Mean Error: 7875845.153392461
Generation 245, Mean Error: 6348337.945031294
Generation 250, Mean Error: 5338020.383582094
Generation 255, Mean Error: 5021844.548152076
Generation 260, Mean Error: 4763138.391661422
Generation 265, Mean Error: 3969417.55220203
Generation 270, Mean Error: 4287723.299892564
Generation 275, Mean Error: 4194413.446633471
Generation 280, Mean Error: 3503734.9970672233
Generation 285, Mean Error: 2748453.805820766
Generation 290, Mean Error: 2618950.4138404154
Generation 295, Mean Error: 2595979.818466337
Generation 300, Mean Error: 2264388.649723518
Generation 305, Mean Error: 2087080.1473054362
Generation 310, Mean Error: 2033782.7537979567
Generation 315, Mean Error: 1803606.515888292
Generation 320, Mean Error: 1606976.5395111772
Generation 325, Mean Error: 1354628.2078910791
Generation 330, Mean Error: 1155707.7829817906
Generation 335, Mean Error: 1083576.4498069151
Generation 340, Mean Error: 943665.3296736447
Generation 345, Mean Error: 778709.3168508719
Generation 350, Mean Error: 679480.8316229498
Generation 355, Mean Error: 673305.9450798208
Generation 360, Mean Error: 598705.762125374
Generation 365, Mean Error: 542293.9974077786
Generation 370, Mean Error: 467566.9707683401
Generation 375, Mean Error: 415150.5156281652
Generation 380, Mean Error: 380980.2012534081
Generation 385, Mean Error: 341707.22029565944
Generation 390, Mean Error: 305393.28362400015
Generation 395, Mean Error: 298089.75796089345
