Process 0: Starting GA0 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
Process 1: Starting GA1 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
GA0: Generation 0, Mean Error: 11131.992635665345
Process 2: Starting GA2 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
GA1: Generation 0, Mean Error: 10962.31881199882
Process 3: Starting GA3 training on Rosen dataset at Sat Nov 11 19:23:10 2017
Setting up the network with 2 inputs and 1 output(s)
GA2: Generation 0, Mean Error: 10940.01095456254
GA3: Generation 0, Mean Error: 11163.073588755005
GA2: Generation 100, Mean Error: 9012.28106758232
GA0: Generation 100, Mean Error: 8441.549831256441
GA3: Generation 100, Mean Error: 8190.645575551041
GA1: Generation 100, Mean Error: 8204.992731203412
GA2: Generation 200, Mean Error: 7929.626529968252
GA0: Generation 200, Mean Error: 7826.268220656602
GA3: Generation 200, Mean Error: 7582.822922025907
GA1: Generation 200, Mean Error: 7312.848897127755
GA2: Generation 300, Mean Error: 7739.743570561171
GA0: Generation 300, Mean Error: 7535.806362967168
GA3: Generation 300, Mean Error: 7333.9915894799105
GA1: Generation 300, Mean Error: 6756.832899988527
GA2: Generation 400, Mean Error: 6944.638615691518
GA0: Generation 400, Mean Error: 7455.453125812481
GA3: Generation 400, Mean Error: 6875.350503821572
GA1: Generation 400, Mean Error: 6620.916464199667
GA2: Generation 500, Mean Error: 7028.106530828157
GA0: Generation 500, Mean Error: 7598.407516962232
GA3: Generation 500, Mean Error: 6483.459422212154
GA1: Generation 500, Mean Error: 6550.924511459418
GA2: Generation 600, Mean Error: 6627.751887992015
GA0: Generation 600, Mean Error: 7520.658909252335
GA3: Generation 600, Mean Error: 6357.615235868088
GA1: Generation 600, Mean Error: 6314.5056146779825
GA2: Generation 700, Mean Error: 6320.891506257524
GA3: Generation 700, Mean Error: 6141.413327705738
GA0: Generation 700, Mean Error: 7145.855975386594
GA1: Generation 700, Mean Error: 6299.914238073603
GA2: Generation 800, Mean Error: 6346.411300968387
GA3: Generation 800, Mean Error: 6132.211197440069
GA0: Generation 800, Mean Error: 6931.114372807253
GA1: Generation 800, Mean Error: 6096.985406114707
GA2: Generation 900, Mean Error: 6048.677479038724
GA3: Generation 900, Mean Error: 6066.936462205254
GA0: Generation 900, Mean Error: 6620.877006112278
GA1: Generation 900, Mean Error: 6147.892618741689
GA2: Generation 1000, Mean Error: 6149.188106989649
GA3: Generation 1000, Mean Error: 6203.768882592186
GA0: Generation 1000, Mean Error: 6468.411646139221
GA1: Generation 1000, Mean Error: 6066.127162576509
GA2: Generation 1100, Mean Error: 6060.379141307174
GA3: Generation 1100, Mean Error: 6213.569170781263
GA0: Generation 1100, Mean Error: 6645.381833237573
GA1: Generation 1100, Mean Error: 6199.835817397004
GA2: Generation 1200, Mean Error: 6017.8922472928525
GA3: Generation 1200, Mean Error: 6091.389114436906
GA0: Generation 1200, Mean Error: 6487.3365900601075
GA1: Generation 1200, Mean Error: 6444.7757687241665
GA2: Generation 1300, Mean Error: 5979.153073017772
GA3: Generation 1300, Mean Error: 6020.02354852072
GA0: Generation 1300, Mean Error: 6477.403083990836
GA1: Generation 1300, Mean Error: 6263.686770178132
GA2: Generation 1400, Mean Error: 5982.614250260829
GA3: Generation 1400, Mean Error: 6060.6375163747425
GA0: Generation 1400, Mean Error: 6355.394954919762
GA1: Generation 1400, Mean Error: 5972.764822667146
GA2: Generation 1500, Mean Error: 5979.276498593475
GA3: Generation 1500, Mean Error: 6044.117645619825
GA0: Generation 1500, Mean Error: 6153.846907046582
GA1: Generation 1500, Mean Error: 5974.551243640366
GA2: Generation 1600, Mean Error: 6068.425392146604
