Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES1: Generation 0, Mean Error: 10804.631370812795
ES2: Generation 0, Mean Error: 10635.997484950733
ES3: Generation 0, Mean Error: 10837.930027958882
ES0: Generation 10, Mean Error: 10103.498901469453
ES1: Generation 10, Mean Error: 9010.001268700758
ES2: Generation 10, Mean Error: 9007.284702698307
ES0: Generation 20, Mean Error: 8637.694066613272
ES3: Generation 10, Mean Error: 9008.367756217438
ES1: Generation 20, Mean Error: 8530.95928272932
ES0: Generation 30, Mean Error: 7881.355119247131
ES2: Generation 20, Mean Error: 8694.586116876048
ES3: Generation 20, Mean Error: 8236.932000685825
ES1: Generation 30, Mean Error: 7983.453161230793
ES0: Generation 40, Mean Error: 7153.737586061428
ES2: Generation 30, Mean Error: 7952.680442563098
ES0: Generation 50, Mean Error: 6957.100433472428
ES1: Generation 40, Mean Error: 7683.794065876495
ES3: Generation 30, Mean Error: 8926.495109246376
ES0: Generation 60, Mean Error: 7002.38777606189
ES2: Generation 40, Mean Error: 8517.286521506536
ES1: Generation 50, Mean Error: 7508.621947216519
ES0: Generation 70, Mean Error: 7213.598693975772
ES3: Generation 40, Mean Error: 8359.455886819764
ES1: Generation 60, Mean Error: 8079.283699069535
ES2: Generation 50, Mean Error: 9416.782458704103
ES0: Generation 80, Mean Error: 7942.576212599242
ES0: Generation 90, Mean Error: 7758.806256121768
ES1: Generation 70, Mean Error: 8298.884956646876
ES2: Generation 60, Mean Error: 9492.165298839258
ES3: Generation 50, Mean Error: 8587.824662814703
ES0: Generation 100, Mean Error: 7180.932064069813
ES1: Generation 80, Mean Error: 8346.477436984209
ES0: Generation 110, Mean Error: 7408.699336914448
ES2: Generation 70, Mean Error: 9319.052195264974
ES3: Generation 60, Mean Error: 9611.037369470087
ES1: Generation 90, Mean Error: 7965.649584919567
ES0: Generation 120, Mean Error: 7622.35105147962
ES2: Generation 80, Mean Error: 9667.182427559006
ES0: Generation 130, Mean Error: 7995.915282138188
ES1: Generation 100, Mean Error: 7760.469672696564
ES3: Generation 70, Mean Error: 8805.966468955947
ES0: Generation 140, Mean Error: 8155.328315565184
ES2: Generation 90, Mean Error: 13720.263661655004
ES1: Generation 110, Mean Error: 8528.417374290408
ES0: Generation 150, Mean Error: 7243.418909161804
ES3: Generation 80, Mean Error: 10303.84489711655
ES1: Generation 120, Mean Error: 11087.510769923401
ES2: Generation 100, Mean Error: 9866.396818000621
ES0: Generation 160, Mean Error: 7294.349048445686
ES1: Generation 130, Mean Error: 8647.79438608119
ES0: Generation 170, Mean Error: 7393.058244371027
ES3: Generation 90, Mean Error: 9552.766340918144
ES2: Generation 110, Mean Error: 10069.356767635518
ES0: Generation 180, Mean Error: 6987.729070527866
ES1: Generation 140, Mean Error: 7716.845029740353
ES2: Generation 120, Mean Error: 11417.019076743041
ES3: Generation 100, Mean Error: 9345.316696502689
ES0: Generation 190, Mean Error: 7027.784621122183
ES1: Generation 150, Mean Error: 7251.8543689185335
ES0: Generation 200, Mean Error: 7085.587687793602
ES2: Generation 130, Mean Error: 12430.385928190166
ES3: Generation 110, Mean Error: 10988.518848964455
ES1: Generation 160, Mean Error: 7237.682756036893
ES0: Generation 210, Mean Error: 6923.2133558541145
ES2: Generation 140, Mean Error: 10161.071245639483
ES0: Generation 220, Mean Error: 6755.057141002937
ES1: Generation 170, Mean Error: 6878.919895654158
ES3: Generation 120, Mean Error: 13435.599162448276
ES0: Generation 230, Mean Error: 6835.440736232638
ES2: Generation 150, Mean Error: 11257.861798379934
ES1: Generation 180, Mean Error: 6819.193444674181
ES0: Generation 240, Mean Error: 6897.484456851702
ES3: Generation 130, Mean Error: 11001.307976790387
ES2: Generation 160, Mean Error: 8883.324877777202
ES1: Generation 190, Mean Error: 7223.944351989251
ES0: Generation 250, Mean Error: 7121.655399193821
ES0: Generation 260, Mean Error: 7183.347186844979
ES1: Generation 200, Mean Error: 7005.327519017647
ES2: Generation 170, Mean Error: 9172.61522630071
ES3: Generation 140, Mean Error: 11343.104320217319
ES0: Generation 270, Mean Error: 6883.061140843729
ES1: Generation 210, Mean Error: 6966.621889946729
ES2: Generation 180, Mean Error: 8784.825479817599
ES0: Generation 280, Mean Error: 7159.951182667936
ES3: Generation 150, Mean Error: 11332.040977345883
ES1: Generation 220, Mean Error: 6900.055812895815
ES0: Generation 290, Mean Error: 7266.000942579377
ES2: Generation 190, Mean Error: 8336.772764964422
ES0: Generation 300, Mean Error: 7432.01975281582
ES1: Generation 230, Mean Error: 6852.261066407818
ES3: Generation 160, Mean Error: 11249.166055262958
ES2: Generation 200, Mean Error: 7932.839063705003
ES0: Generation 310, Mean Error: 7103.766553100865
ES1: Generation 240, Mean Error: 6667.699965909204
ES0: Generation 320, Mean Error: 7071.479983972113
ES3: Generation 170, Mean Error: 10601.742303192543
ES2: Generation 210, Mean Error: 8093.188967705189
ES1: Generation 250, Mean Error: 6745.804561016419
ES0: Generation 330, Mean Error: 7087.383173297512
ES2: Generation 220, Mean Error: 8228.926913021594
ES0: Generation 340, Mean Error: 7144.045408944123
ES3: Generation 180, Mean Error: 12251.185807229713
ES1: Generation 260, Mean Error: 6613.123683621829
ES0: Generation 350, Mean Error: 7098.715728777868
ES2: Generation 230, Mean Error: 8413.938145808646
ES1: Generation 270, Mean Error: 6918.219919955939
ES3: Generation 190, Mean Error: 9921.657355445304
ES0: Generation 360, Mean Error: 6836.056918252061
ES2: Generation 240, Mean Error: 8455.67285097609
ES1: Generation 280, Mean Error: 6608.52440519558
ES0: Generation 370, Mean Error: 6734.928469212807
ES3: Generation 200, Mean Error: 10208.134467057864
ES0: Generation 380, Mean Error: 6568.676978498293
